total_lines,LOC,blanks,comments,rawVersion,version,addresses,assemblyStatement,block,contracts_definition,contracts,doWhileStatement,emitStatement,events,forStatement,functions,ifStatement,inlineAssemblyStatement,interfaces,libraries,mapping,modifiers,payable,public,pure,returnStatement,revertStatement,simpleStatement,throwStatement,tryStatement,view,isVirtual,isFallback,whileStatement,cyclomatic,abiLength,abiStringLength,bytecode,contractAddress
1195,709,173,81,^0.6.12,0.6.12,186,0,99,10,2,0,11,13,22,140,22,2,5,2,7,2,9,0,19,48,0,0,0,0,44,6,0,0,184,277,8771,44510,0x0569d3889376affa3a8c442119508d655610179e
1196,510,180,146,>=0.5.0,0.5.0,103,0,91,18,11,0,17,14,9,80,9,1,3,4,9,3,0,0,12,37,0,0,0,0,24,0,0,4,102,298,7638,35346,0x0318c1d4c2855012f7814a2aaa5f6156876fb576
1196,721,157,89,^0.6.12,0.6.12,190,0,101,10,2,0,13,13,23,142,23,2,5,2,8,2,8,0,19,49,0,0,0,0,46,8,0,0,188,319,9799,46518,0x01b83ca53db8dd8b4637df5e9116bafb5626869c
12,8,2,2,^0.4.4,0.4.4,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,166,646,0x0230cfc895646d34538ae5b684d76bf40a8b8b89
120,74,21,29,^0.4.8,0.4.8,22,0,13,2,2,0,0,2,3,13,3,0,0,0,3,1,0,0,0,7,0,0,1,0,0,0,0,0,19,95,2391,6096,0x011ea78cadd45e578bfe8e6897a4c29f84821c47
120,96,21,3,^0.4.18,0.4.18,21,0,15,7,4,0,0,3,1,20,1,0,0,3,3,1,5,0,4,4,0,0,0,0,0,0,1,0,22,102,2013,3492,0x024c0e1966a52c506e95679f2edb7c031aaa8011
121,60,21,36,^0.4.21,0.4.21,21,0,7,2,2,0,3,2,1,11,1,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,13,103,2772,3216,0x01376693da0093f6b490df852f7e5754a8cccb7b
1217,346,132,126,^0.6.2,0.6.2,71,0,76,10,4,0,8,6,5,73,5,1,1,3,5,2,1,0,8,45,0,0,0,0,26,25,0,0,83,184,6629,11358,0x031b41e504677879370e9dbcf937283a8691fa7f
122,67,24,40,^0.4.4,0.4.4,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8010,0x0135ff54aa9547d0305528dd06275bc5fb174cbd
122,88,26,5,^0.4.11,0.4.11,26,0,13,3,1,0,0,4,0,19,0,0,1,1,3,0,2,0,0,10,0,0,0,0,0,0,1,0,19,139,3199,7944,0x001ea8150f4965195e10e5b5568047e1555a6dcd
122,94,28,0,^0.4.21,0.4.21,21,0,20,4,4,0,0,2,4,18,4,0,0,0,0,3,4,0,0,2,0,0,0,0,0,0,1,1,27,105,2094,3740,0x03358425ada4620246dd703dc1f2246b8e148d22
122,97,21,4,^0.4.21,0.4.21,25,0,17,4,3,0,0,2,4,16,4,0,0,1,2,2,1,0,4,5,0,0,0,0,3,0,1,0,24,81,1893,6964,0x015ccd5ad83e95b5cb91b920f689ea329d096190
123,67,25,31,^0.4.4,0.4.4,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8010,0x0219b584e1f78675d91187c241439d1acdf7aa86
123,90,33,0,^0.6.0,0.6.0,28,0,12,4,2,0,5,6,0,18,0,0,1,1,3,0,1,0,2,8,0,0,0,0,6,0,0,0,18,68,2520,6166,0x0021c5f6bc6647e2b1387464b976db9f78ce3f55
124,67,27,30,^0.4.24,0.4.24,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8164,0x01b183d172062e23f392d0939a2e18a9be0d82be
124,67,27,30,^0.4.24,0.4.24,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8164,0x01bca0aa06d12d16fc0dc35886af58d348d71d9a
1243,632,235,106,^0.4.23,0.4.23,79,0,98,21,20,0,24,15,12,77,12,1,0,1,6,6,2,0,8,39,0,0,0,0,23,0,1,3,104,287,5806,9462,0x0013d3b508a23feeeca45c4c62cc88966fb71aed
1246,565,145,110,NA,NA,108,0,92,13,3,0,9,5,8,77,8,2,6,1,5,4,8,0,2,32,0,0,0,2,33,24,0,0,95,148,6455,38196,0x01F1D4068fEA6E2fDB859A8eA59B10682B900Ff4
125,74,23,28,^0.4.11,0.4.11,22,0,13,2,2,0,0,2,3,13,3,0,0,0,3,1,0,0,0,7,0,0,0,0,0,0,0,0,19,95,2391,3398,0x039cbc5d80f78aa4708aef80d3cd99dd37953512
126,102,24,0,^0.4.24,0.4.24,26,0,16,4,3,0,4,3,1,20,1,0,0,1,3,1,0,0,4,12,0,0,0,0,6,0,0,0,22,108,2698,7984,0x017ac1946cd8277fac146543588dab54f1e09033
126,56,23,36,^0.5.7,0.5.7,22,0,7,2,2,0,3,2,1,11,1,0,0,0,3,0,0,0,0,5,0,0,0,0,4,0,0,0,13,103,2809,6320,0x056be48c53d91bd362e29f1190daec35222a2b6c
126,66,23,41,^0.4.4,0.4.4,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2878,4238,0x01072869f693ae5842a097bccc13b58891c75efd
126,74,21,31,^0.4.8,0.4.8,22,0,13,2,2,0,0,2,3,13,3,0,0,0,3,1,0,0,0,7,0,0,1,0,0,0,0,0,19,84,2092,3360,0x02e2c4e6b91734f1f3d2cf4bc4ec4db4a51bf04f
1265,815,244,118,0.4.24,0.4.24,87,0,153,18,14,0,14,13,33,114,33,1,4,0,10,7,21,0,10,65,0,0,0,0,41,0,2,0,180,211,4845,14154,0x015531a044bae03bf4dab1ceabfc232a969b7175
127,104,23,0,^0.4.11,0.4.11,22,0,17,4,4,0,0,2,0,23,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,23,127,2947,4624,0x01e45b8d0c51f05f17385dd3416fe3aa5bfd89ac
127,77,18,34,^0.4.13,0.4.13,9,0,12,2,2,0,0,1,2,9,2,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,1,0,13,42,760,2354,0x0174312e4aef436606ffdeb4d05d22fb68f36ba0
127,78,30,9,^0.4.18,0.4.18,16,0,10,3,2,0,0,1,1,10,1,0,0,1,1,0,2,0,4,6,0,0,0,0,0,0,1,0,12,118,2614,2810,0x002842529757eab873cce9c251087e1b993f9200
1271,649,245,153,^0.4.24,0.4.24,128,0,113,18,12,0,16,11,15,93,15,1,3,3,18,6,0,0,7,43,0,0,0,0,26,0,0,2,125,169,4431,7678,0x01fa555c97d7958fa6f771f3bbd5ccd508f81e22
1278,558,174,184,^0.5.2,0.5.2,142,0,72,15,10,0,23,15,11,85,11,2,2,3,9,1,3,0,5,35,0,0,0,0,21,0,1,1,108,230,5422,11414,0x0233ae8ad87f613067697c87355bad8d6ca42445
128,79,24,6,^0.4.21,0.4.21,40,0,10,7,7,0,3,4,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,20,114,2841,5622,0x019e41a2acdffafc0303e840fbd7934234e68f45
128,97,28,3,^0.8.7,0.8.7,14,0,20,2,1,0,3,2,5,14,5,0,0,1,3,0,0,0,4,16,0,0,0,0,5,0,0,0,24,92,3164,4228,0x023ad849d4b6dc214fbd65bb6c842f5c675a2acc
129,66,26,32,NA,NA,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,4304,0x01e4031d7338c3ae80233b1d66c96d85be98ff90
129,93,30,4,^0.4.21,0.4.21,21,0,17,2,1,0,6,3,2,14,2,0,0,1,3,0,0,0,4,14,0,0,0,0,3,0,0,0,18,116,3020,4394,0x02611ca37364d30ac9a11ade6b02aad288127c98
1293,476,196,150,^0.8.0,0.8.0,104,0,94,14,2,0,8,4,15,83,15,3,5,2,10,1,3,0,4,43,0,0,0,1,37,39,0,3,117,174,6107,31954,0x032dd2a3c6d234aa9620d65eb618fcdc72be3dbb
13,10,3,0,^0.4.0,0.4.0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,16,295,384,0x00223f71b749b8754963c41cba62cb61ef106e9c
13,12,1,0,^0.4.22,0.4.22,0,0,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,16,260,664,0x029cb57991b2a2cad9271b8c4131bb8551982014
130,67,25,40,^0.4.16,0.4.16,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8002,0x0051d363a60bd98d8a10927d10708e5ef853b306
1300,765,231,145,^0.4.24,0.4.24,145,0,117,21,16,0,11,16,11,125,11,3,4,1,11,10,0,0,15,59,0,0,0,0,55,0,0,0,147,490,12831,48232,0x036570162bc64a4e1201f1ba4a3fcd87e35b0b2f
131,67,28,43,^0.4.4,0.4.4,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,4196,0x01345629d4e7aedf4439286d07e33bf7c6fd996f
1311,681,150,96,^0.8.0,0.8.0,93,0,79,11,3,0,6,4,6,75,6,3,4,2,11,2,2,0,4,37,0,0,0,1,30,27,0,3,91,204,7259,32996,0x01b6586bc8af91ad3635efb8bc8314a3e6427c3a
1311,709,204,110,0.4.24,0.4.24,108,0,97,18,13,0,17,15,14,81,14,0,1,4,12,8,3,0,6,31,0,0,0,0,21,0,1,0,109,324,7699,33392,0x0129bd83cfad576a443cfebefe5b350c9ef4dcbf
1318,573,169,122,^0.8.0,0.8.0,104,0,97,14,2,0,6,4,15,90,15,3,5,2,9,1,1,0,4,38,0,0,0,1,38,38,0,3,124,246,8032,38118,0x02aa731631c6d7f8241d74f906f5b51724ab98f8
132,60,22,15,^0.5.7,0.5.7,20,0,12,3,2,0,3,2,0,12,0,0,1,0,0,1,2,0,0,1,0,0,0,0,2,0,1,0,12,83,1974,6732,0x02c83f4e1eaca0679659be3856f0623cdcae912b
132,67,27,40,^0.4.16,0.4.16,22,0,19,3,3,0,0,2,3,14,3,0,0,0,3,0,0,0,0,8,0,0,2,0,0,0,1,0,20,107,2718,8002,0x03bb85e156a5daf4b1e3357f251310a0e7e78b18
133,73,17,33,^0.4.10,0.4.10,21,0,9,3,3,0,0,2,2,12,2,0,0,0,3,0,0,0,0,5,0,0,2,0,0,0,0,0,16,77,1915,2988,0x02b9806a64cb05f02aa8dcc1c178b88159a61304
1334,566,172,137,^0.8.0,0.8.0,102,0,96,13,2,0,6,4,13,87,13,3,5,2,9,1,3,0,4,40,0,0,0,1,36,37,0,3,117,240,7785,18404,0x02450C227E981827ff6ca9442E52F41D922BD657
1337,477,173,178,^0.6.0,0.6.0,95,0,97,10,4,0,10,6,15,80,15,2,1,4,6,1,1,0,8,53,0,0,0,0,25,15,0,0,110,162,5596,12128,0x026eafb25ddf7d754d3a66a56c9a6400e99c26c5
1340,611,161,190,0.6.8,0.6.8,82,0,98,10,4,0,7,7,32,65,32,3,3,3,1,2,1,0,10,28,0,0,0,0,12,0,0,0,129,99,2650,7882,0x02b909adc8921c83c00516d39faaaaa2d84eea77
1344,491,179,162,^0.6.12,0.6.12,95,0,100,10,4,0,10,6,15,83,15,2,1,4,6,1,1,0,8,53,0,0,0,0,25,15,0,0,113,111,3993,8172,0x01387115455a566acef031ee53ad998ba34395c0
